@relation 'JanFevMar2019-2020 x Met'

@attribute Data date 'yyyy-MM-dd'
@attribute 'Geracao (Kwh)' numeric
@attribute 'Precipitacao total (mm)' numeric
@attribute 'Temperatura media (°C)' numeric
@attribute 'Velocidade maxima do vento (m/s)' numeric

@data
2020-02-15,43.829,0,23.366667,8.3
2020-02-16,36.761,0.4,23.658333,11.1
2020-02-17,51.991,1.8,22.941667,9
2020-02-18,49.827,12.8,23.654167,7.9
2020-02-19,41.246,0.2,23.983333,11.2
2020-02-20,129.539,0,24.9375,7.4
2020-02-21,50.145,0,23.05,15.8
2020-02-22,46,33,22.6375,8.8
2020-02-23,57.639,51.6,22.120833,4.6
2020-02-24,42.828,1.8,22.1,7.4
2020-02-25,44.463,17.8,23.508333,8.8
2020-02-26,65.051,18,23.483333,9
2020-02-27,46.561,3,23.220833,8.6
2020-02-28,51,11,22.654167,7.7
2020-02-29,41.609,139.8,22.141667,10
2020-03-01,39.45,19.6,22.675,7.8
2020-03-02,44.013,13.2,20.020833,11.1
2020-03-03,58.817,0.4,21.308333,5.7
2020-03-04,39.733,0.2,22.379167,19.8
2020-03-05,76.033,18.4,22.875,7.1
2020-03-06,56.376,0.2,21.5375,4.8
2020-03-07,52.871,0.2,22.633333,5.1
2020-03-08,61.061,0,22.921739,5.7
2020-03-09,93.345,0,23.116667,4.7
2020-03-10,79.589,0,23.2375,6
2020-03-11,48.922,0,23.85,6.9
2020-03-12,107.222,0,23.558333,5.1
2020-03-13,67.133,0,23.279167,4.9
2020-03-14,41.321,0,24.179167,7.1
2020-03-15,44.357,0,23.6375,8.4
2020-03-16,86.712,0,23.808333,5.7
2020-03-17,75.245,0,22.870833,12.4
2020-03-18,54.622,1,24.254167,10.6
2020-03-19,68.567,0,24.3625,10.1
2020-03-20,48.999,0.4,24.029167,8.5
2020-03-21,63.469,0.8,23.808333,5.1
2020-03-22,57.141,2.6,22.65,5.6
2020-03-23,92.999,0,22.5,6.9
2020-03-24,56.233,0,20.979167,6.3
2020-03-25,57.307,0,20.916667,6.4
2020-03-26,44.832,0,21.120833,6.3
2020-03-27,57.826,0,21.033333,7.4
2020-03-28,46.729,6.4,21.8375,6.2
2020-03-29,61.283,1.8,22.766667,4.8
2020-03-30,79.435,0,23.995455,5
2020-03-31,64.146,3,23.286957,8.9
